name,price,description,timestamp
«Темура Тори Чикен-Бекон»,429.0,"Состав: сырная лепешка, сыр, бекон, кура в/к, огурец, томат, пекинская капуста, фирменный соус",2026-09-17T12:13:44.073126+00:00
Блэк Дэвил,499.0,"Состав: сливочный сыр, креветка, крабовое мясо, авокадо, фирменный соус Блэк",2026-09-17T12:13:45.210115+00:00
Блэк Чикен,479.0,"Состав: рис, сыр, курочка в/к, огурец, фирменный соус Блэк.    310 грамм",2026-09-17T12:13:46.074516+00:00
запеченные роллы «Ями с крабом и огурцом»,450.0,"Состав: рис, замес краба, огурец, шапка Ями",2026-09-17T12:13:46.949133+00:00
запеченный «Бекон Гриль»,450.0,"Состав: бекон, рис, сыр, кура в/к, болгарский перец, соус гриль   вес: 255 грамм",2026-09-17T12:13:47.808419+00:00
запеченный «Чикен Лав»,450.0,"Состав: рис, сыр, огурец, Кура в/к, соус гриль  240 грамм",2026-09-17T12:13:48.886357+00:00
запеченный «Ями с креветкой и огурцом»,450.0,"Состав: рис, креветка, огурец, шапка Ями",2026-09-17T12:13:49.941733+00:00
запеченный «Ями с курицей и огурцом»,429.0,"Состав: рис, курица в/к, огурец, шапка Ями",2026-09-17T12:13:51.067012+00:00
запеченный «Ями с лососем и огурцом»,450.0,"Состав: рис, лосось, огурец, шапка Ями",2026-09-17T12:13:52.024411+00:00
запеченный ролл » Сяке-Манго»,580.0,"
Состав: рис, сыр, лосось, манго, соуса, Чили нити
280 грамм",2026-09-17T12:13:53.056783+00:00
запеченный ролл «Мон Ами»,550.0,"Состав: рис, сыр, креветка в кляре, айсберг, лосось. 300 грамм",2026-09-17T12:13:54.135305+00:00
запеченный ролл «Хосяке»,495.0,"Состав: рис, лосось, креветка, огурец, соус Юки, ореховый соус, Унаги, микрозелень при наличии",2026-09-17T12:13:54.991692+00:00
запеченный ролл «Чикен-Бэлл»,460.0,"Состав: рис, сыр, огурец, курочка, кунжут, шапка белая, черри
270 грамм",2026-09-17T12:13:56.170948+00:00
запеченный ролл «Эби»,499.0,"Состав: рис, креветка, омлет японский, сыр, сырная шапочка, ореховый и унаги соуса 270 грамм",2026-09-17T12:13:57.049088+00:00
Кальцоне «Адыгейская»,690.0,"Состав: Сливочный соус, моцарелла, адыгейский сыр, сулугуни, яйцо, пармезан",2026-09-17T12:13:57.913014+00:00
Кальцоне «Аллоха»,690.0,"Состав: Сливочный соус, фирменный соус, моцарелла, курочка в/к, охотничьи колбаски, огурчик свежий, томат, яйцо, голландский сыр, украшение укропчик",2026-09-17T12:13:58.847732+00:00
Кальцоне «Бьянка»,680.0,"Состав: сливочный соус, моцарелла, курица В/к, яйцо, томаты, лук зеленый, голландский сыр, украшение укропчик",2026-09-17T12:14:00.060225+00:00
Кальцоне «Качатте»,680.0,"Состав: Сливочный соус, песто, моцарелла, Шампиньоны, курочка в/к, яйцо, голландский сыр, соус Цезарь, украшение укропчик",2026-09-17T12:14:00.979034+00:00
Кальцоне «Пикантье» острая,690.0,"Состав: Сливочный соус, моцарелла, курочка в/к, бекон, халапеньо, томат, яйцо, голландский сыр, соус спайси, украшение укропчик",2026-09-17T12:14:01.782555+00:00
Кальцоне «Салмоне»,725.0,"Состав: Сливочный соус, моцарелла, лосось с/с, черри, пармезан, лук зеленый, украшение укропчик",2026-09-17T12:14:02.815161+00:00
